,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,clusters,cluster
708,6.2621750831604,9.06569671630859,0.774074375629425,62.2999992370605,0.900676310062408,-0.0633773356676102,0.772577941417694,0.819660842418671,0.310789257287979,0.457001328468323,0,pink
709,4.04456949234009,7.56657266616821,0.59846556186676,51.0200004577637,0.796830236911774,0.0411791801452637,0.743256270885468,0.669798910617828,0.260133177042007,0.768311977386475,2,dark purple
710,3.65155482292175,7.60206270217896,0.542295277118683,51.1399993896484,0.646187841892242,0.001416397630237,0.794450223445892,0.657049834728241,0.284573376178741,0.557172477245331,2,dark purple
711,3.90179300308228,7.61840772628784,0.5668665766716,51.2599983215332,0.692736625671387,0.0914210826158524,0.815481603145599,0.605540573596954,0.348057001829147,0.523243308067322,2,dark purple
712,3.41248250007629,7.6312837600708,0.637713730335236,51.3800010681152,0.683557569980621,0.0064513166435062,0.705246388912201,0.643382549285889,0.351264536380768,0.571207225322723,2,dark purple
713,3.50469350814819,7.64393091201782,0.578859627246857,51.5,0.665953040122986,0.0069955396465957,0.762152016162872,0.65810364484787,0.267741233110428,0.61028778553009,2,dark purple
714,3.60285472869873,7.72023010253906,0.675447046756744,51.9500007629395,0.725685179233551,-0.0559364892542362,0.802781164646149,0.676122486591339,0.374393790960312,0.465695828199387,2,dark purple
715,4.87372255325317,7.79061508178711,0.634025573730469,52.4000015258789,0.738212823867798,0.0381579399108887,0.750026226043701,0.701788723468781,0.42246088385582,0.639980792999268,2,dark purple
716,5.25222682952881,7.82392883300781,0.630433142185211,52.8499984741211,0.731157243251801,0.0922191590070724,0.778393805027008,0.727270722389221,0.44043830037117,0.591723740100861,2,dark purple
717,4.76768445968628,7.85050630569458,0.655124187469482,53.2999992370605,0.691399097442627,0.0969296991825104,0.755585491657257,0.66955828666687,0.473388433456421,0.579256534576416,2,dark purple
718,4.97216844558716,7.89014196395874,0.731928527355194,53.75,0.598107695579529,0.0786282867193222,0.790462672710419,0.706352055072784,0.346021980047226,0.326949685811996,2,dark purple
720,5.99282646179199,9.10189628601074,0.848765194416046,56.2400016784668,0.6940056681633,0.0856047347187996,0.835569083690643,0.760633051395416,0.296419769525528,0.464712053537369,2,dark purple
721,3.7541561126709,7.96418142318726,0.693800747394562,6.71999979019165,0.449474722146988,0.361143290996552,0.853506445884705,0.583196222782135,0.332141399383545,0.357021450996399,2,dark purple
722,3.84632921218872,8.0046215057373,0.679098427295685,17.3600006103516,0.464970648288727,0.219058766961098,0.811658978462219,0.57252299785614,0.255774110555649,0.236633285880089,2,dark purple
723,3.76599884033203,7.97277975082397,0.554030776023865,28.0,0.372941315174103,0.17364826798439,0.848006784915924,0.495069414377213,0.292556822299957,0.156370803713799,2,dark purple
724,4.84457397460938,8.00744152069092,0.567039012908936,33.3199996948242,0.41258779168129,0.200928017497063,0.681960105895996,0.550258100032806,0.244855642318726,0.456667959690094,2,dark purple
725,4.41347503662109,7.99765253067017,0.748662710189819,38.6399993896484,0.482485860586166,0.249090611934662,0.717166364192963,0.556582868099213,0.283806413412094,0.367326527833939,2,dark purple
